"acturial_firm_name","plan_name","plan_id","year"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2016"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2016"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2017"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2017"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2018"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2018"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2019"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2019"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2020"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2020"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2021"
"Office Of The State Actuary","Washington Law Enforcement Officers and Firefighters Plan 2",1987,"2021"
"Milliman","Seattle City Employees Retirement System",1996,"2016"
"Milliman","Seattle City Employees Retirement System",1996,"2016"
"Milliman","Seattle City Employees Retirement System",1996,"2017"
"Milliman","Seattle City Employees Retirement System",1996,"2017"
"Milliman","Seattle City Employees Retirement System",1996,"2018"
"Milliman","Seattle City Employees Retirement System",1996,"2018"
"Milliman","Seattle City Employees Retirement System",1996,"2019"
"Milliman","Seattle City Employees Retirement System",1996,"2019"
"Milliman","Seattle City Employees Retirement System",1996,"2020"
"Milliman","Seattle City Employees Retirement System",1996,"2020"
"Milliman","Seattle City Employees Retirement System",1996,"2021"
"Milliman","Seattle City Employees Retirement System",1996,"2021"
"Conduent","West Virginia Teachers’ Retirement System",2006,"2016"
"Conduent","West Virginia Teachers’ Retirement System",2006,"2016"
"Conduent","West Virginia Teachers’ Retirement System",2006,"2017"
"Conduent","West Virginia Teachers’ Retirement System",2006,"2017"
"Buck Consultants ","West Virginia Teachers’ Retirement System",2006,"2018"
"Buck Consultants ","West Virginia Teachers’ Retirement System",2006,"2019"
"Buck Consultants ","West Virginia Teachers’ Retirement System",2006,"2018"
"Conduent","West Virginia State Police Retirement System",2008,"2016"
"Buck Consultants ","West Virginia Teachers’ Retirement System",2006,"2019"
"Buck Consultants ","West Virginia Teachers’ Retirement System",2006,"2020"
