"plan_id","totalpensionliability","netpensionliability","year"
1,1.69771E+7,5.80001E+6,"2016"
1,1.73907E+7,5.26827E+6,"2017"
1,1.78621E+7,5.14176E+6,"2018"
1,1.83539E+7,5.78542E+6,"2019"
1,1.9707E+7,6.55643E+6,"2020"
1,2.1064E+7,5.58449E+6,"2021"
2,3.37623E+7,1.0826E+7,"2016"
2,3.44799E+7,9.82848E+6,"2017"
2,3.5878E+7,9.94258E+6,"2018"
2,3.66764E+7,1.10569E+7,"2019"
2,3.8316E+7,1.23696E+7,"2020"
2,3.99822E+7,9.42032E+6,"2021"
10,2.02226E+6,1.04046E+6,"2016"
10,1.74521E+6,707126,"2017"
10,1.78304E+6,727620,"2018"
10,1.97374E+6,930864,"2019"
10,2.22777E+6,1.23377E+6,"2020"
24,7.22554E+6,2.28334E+6,"2016"
24,7.33891E+6,2.02661E+6,"2017"
24,7.38706E+6,1.91433E+6,"2018"
24,7.38047E+6,1.86854E+6,"2019"
24,7.47792E+6,2.03312E+6,"2020"
24,7.52745E+6,795973,"2021"
25,1.38173E+7,5.5896E+6,"2016"
25,1.41126E+7,5.16944E+6,"2017"
25,1.42757E+7,4.96903E+6,"2018"
25,1.49636E+7,5.47423E+6,"2019"
25,1.53703E+7,5.90118E+6,"2020"
25,1.55808E+7,3.6685E+6,"2021"
29,393457,75382.9,"2016"
29,426959,148671,"2017"
29,422210,70263.6,"2018"
29,436930,50351.8,"2019"
29,445358,51823.1,"2020"
31,4.90008E+7,1.6141E+7,"2016"
31,5.17808E+7,1.55781E+7,"2017"
31,5.24384E+7,1.39465E+7,"2018"
31,5.43763E+7,1.45512E+7,"2019"
31,5.64941E+7,1.73265E+7,"2020"
31,6.13418E+7,1.31396E+7,"2021"
44,3.98414E+6,1.83272E+6,"2016"
44,4.12945E+6,1.77584E+6,"2017"
44,4.22605E+6,1.67153E+6,"2018"
44,4.40182E+6,1.74169E+6,"2019"
44,4.41411E+6,1.73294E+6,"2020"
44,4.5418E+6,1.10377E+6,"2021"
52,1.03069E+6,303912,"2016"
52,1.03669E+6,246744,"2017"
52,1.05399E+6,230354,"2018"
52,1.12949E+6,292909,"2019"
52,1.14893E+6,315759,"2020"
52,1.18207E+6,168689,"2021"
90,9.76211E+6,2.39135E+6,"2016"
90,1.06129E+7,2.58414E+6,"2017"
90,1.08087E+7,2.20594E+6,"2018"
90,1.12459E+7,2.41253E+6,"2019"
90,1.16326E+7,2.86358E+6,"2020"
90,1.19543E+7,768832,"2021"
91,1.897E+7,4.41144E+6,"2016"
91,2.04887E+7,4.20386E+6,"2017"
91,2.11316E+7,3.63896E+6,"2018"
91,2.1913E+7,4.17136E+6,"2019"
91,2.2563E+7,5.66088E+6,"2020"
91,2.42376E+7,2.76884E+6,"2021"
191,122148,67737.3,"2016"
191,115843,62281.9,"2017"
191,115843,57805.6,"2018"
191,100465,50364.1,"2019"
226,2.69994E+8,8.0881E+7,"2016"
226,3.02769E+8,9.248E+7,"2017"
226,3.16776E+8,9.1907E+7,"2018"
226,3.29178E+8,9.0316E+7,"2019"
226,3.43893E+8,9.6909E+7,"2020"
226,3.55801E+8,4.5508E+7,"2021"
230,6.92308E+7,1.50662E+7,"2016"
230,7.28268E+7,1.07126E+7,"2017"
230,7.65464E+7,9.77286E+6,"2018"
230,8.84046E+7,1.81256E+7,"2019"
230,9.26254E+7,2.17091E+7,"2020"
230,9.76639E+7,5.91406E+6,"2021"
232,8.41098E+6,2.24319E+6,"2016"
232,9.1239E+6,2.01368E+6,"2017"
232,9.53515E+6,2.764E+6,"2018"
232,9.95979E+6,2.14069E+6,"2019"
232,1.06393E+7,2.19442E+6,"2020"
232,1.10095E+7,792287,"2021"
233,8.83898E+6,1.40046E+6,"2016"
233,9.20202E+6,811437,"2017"
233,9.57803E+6,1.42804E+6,"2018"
233,1.01211E+7,864085,"2019"
233,1.05317E+7,461450,"2020"
233,1.12108E+7,-242952,"2021"
236,5.98523E+6,2.41364E+6,"2016"
236,6.32687E+6,2.36398E+6,"2017"
236,6.52966E+6,2.3308E+6,"2018"
236,6.72828E+6,2.3825E+6,"2019"
236,7.1007E+6,2.6619E+6,"2020"
236,7.3069E+6,1.88938E+6,"2021"
237,5.85285E+7,1.06818E+7,"2016"
237,6.40317E+7,1.1288E+7,"2017"
237,6.70572E+7,1.07572E+7,"2018"
237,7.03092E+7,1.20144E+7,"2019"
237,7.65796E+7,1.80692E+7,"2020"
237,8.03039E+7,7.29188E+6,"2021"
241,1.80004E+7,5.19122E+6,"2016"
241,1.9754E+7,4.9521E+6,"2017"
